1:5,7,3,1,9,1,9,4,2,9,8,9,9,8,9,5,1,9,6,9,6,2,6,2,4,4,1,1,7,7
2:5,5,1,9,4,1,8,6,6,4,8,2,1,5,2,5,3,8,5,2,2,7,2,3,8,4,4,2,1,4
3:7,2,3,8,2,6,9,1,7,6,8,7,4,4,4,9,2,4,6,6,2,1,6,5,8,3,6,8,5,8
4:4,7,6,7,2,5,3,9,6,5,6,7,2,8,4,1,4,8,6,3,9,6,9,4,2,4,8,7,9,8
5:4,1,8,6,4,3,1,2,1,1,7,1,4,9,2,6,5,6,7,4,8,9,4,5,6,8,7,4,1,7
6:6,3,7,7,3,4,5,9,8,7,6,2,7,7,1,3,7,4,3,2,8,8,2,9,3,4,4,1,6,7
7:2,6,8,4,8,7,4,2,2,4,4,9,9,8,2,5,1,8,1,2,4,2,8,6,4,9,7,3,5,1
8:2,7,3,3,1,6,2,8,1,7,7,8,5,1,3,2,8,6,6,8,4,2,2,5,3,9,6,8,2,4
9:1,5,7,2,9,8,2,9,9,6,1,8,1,9,4,8,3,1,4,1,8,4,1,9,5,2,3,6,1,4
10:9,4,3,8,5,9,1,8,2,4,5,8,7,2,3,9,5,1,5,8,4,8,2,2,3,7,5,2,3,8
11:6,6,8,8,3,3,2,9,4,2,5,9,8,1,8,9,4,4,8,3,4,5,8,3,3,8,6,5,1,5
12:4,8,9,2,1,1,3,6,9,4,4,7,1,2,2,6,6,5,6,1,6,2,7,7,1,9,4,5,5,7
13:4,7,2,5,2,3,4,4,9,8,7,2,6,2,5,8,9,9,4,6,5,9,8,7,4,2,7,2,3,6
14:3,4,7,3,5,6,1,6,7,7,7,2,5,6,4,6,1,1,9,9,5,2,7,8,3,2,5,5,7,6
15:4,3,5,9,9,2,9,5,9,6,1,6,8,5,8,7,1,8,4,8,3,3,5,9,6,2,6,3,3,5
16:5,7,1,2,2,5,3,9,9,2,6,1,5,6,1,8,3,2,5,5,5,5,1,8,6,2,5,9,2,2
17:7,2,2,8,9,5,6,6,8,6,5,2,9,6,1,4,8,8,6,7,5,5,3,9,1,9,7,2,5,9
18:8,4,2,7,5,3,4,2,7,2,3,5,3,8,6,2,7,3,3,3,3,4,3,7,9,7,7,5,8,2
19:6,7,8,3,9,9,8,7,9,3,8,1,3,2,1,6,9,2,9,5,4,7,9,7,8,4,2,8,9,2
20:2,6,5,5,1,4,6,5,5,3,9,4,9,4,1,1,4,1,4,4,6,2,4,1,8,8,2,6,4,8
21:4,5,2,7,5,8,6,2,6,4,8,3,6,3,8,2,4,8,1,4,8,2,4,2,9,1,4,1,5,5
22:2,1,6,6,2,1,3,8,9,1,1,6,4,7,3,1,4,6,4,9,6,6,8,2,6,6,3,4,1,7
23:8,6,1,9,3,6,8,8,9,8,6,7,3,6,9,6,1,9,7,4,8,3,2,2,8,8,5,6,7,4
24:9,2,9,9,2,9,5,7,4,1,4,3,2,8,2,2,5,2,9,1,5,6,7,3,9,4,3,8,1,9
25:2,4,9,3,1,5,5,9,1,5,7,3,5,5,1,9,9,1,2,1,1,1,1,2,6,1,9,9,6,5
26:5,6,5,6,6,3,4,7,3,8,7,3,7,6,6,3,1,1,7,1,4,8,3,9,6,1,4,8,7,7
27:9,5,9,8,6,2,1,1,9,5,2,9,3,1,1,9,6,7,6,3,1,6,9,6,3,5,2,9,8,2
28:9,5,2,8,1,3,6,5,6,8,7,7,8,9,4,2,2,8,4,3,1,1,6,8,3,8,1,2,6,4
29:1,2,7,3,4,1,6,4,4,4,1,4,3,2,7,9,8,4,9,2,4,2,1,4,8,6,3,3,2,3
30:5,6,5,4,6,2,8,2,5,9,8,2,2,7,6,3,4,1,2,8,1,3,9,4,4,5,3,8,6,6
31:6,4,6,8,5,7,9,6,7,3,8,7,5,7,5,2,3,8,5,5,3,4,5,7,9,7,4,4,1,5
32:9,8,8,4,7,9,2,6,9,7,1,8,6,7,4,6,1,3,1,4,2,5,4,4,8,1,7,7,1,9
33:6,3,7,1,4,9,7,9,6,3,7,6,6,7,2,8,6,5,7,3,3,6,7,9,9,6,6,7,4,7
34:9,9,4,4,2,4,9,4,6,1,7,3,5,7,3,1,3,2,7,7,8,2,6,9,6,4,7,5,7,8
35:9,5,9,8,6,2,1,1,9,5,2,9,3,1,1,9,6,7,6,3,1,6,9,6,3,5,2,9,8,8
36:7,8,1,2,6,6,8,7,4,8,3,7,8,4,5,2,6,5,2,5,2,9,6,1,4,8,9,6,1,6
37:1,6,4,2,9,1,7,9,4,8,1,7,2,8,2,7,3,5,1,9,6,3,9,7,9,8,9,6,5,2
38:4,2,3,8,9,2,9,6,5,6,4,6,7,3,4,7,8,5,5,3,7,4,8,5,5,1,2,9,5,3
39:1,2,7,3,4,1,6,4,4,4,1,4,3,2,7,9,8,4,9,2,4,2,1,4,8,6,3,3,2,3
40:2,5,2,8,4,4,7,4,2,5,9,1,8,8,4,9,4,8,6,1,4,4,8,1,9,8,6,8,2,8
41:5,7,3,8,9,1,9,1,7,5,8,5,9,2,3,8,6,5,5,3,9,6,9,2,2,6,2,7,4,1
42:8,5,3,8,8,9,9,8,1,5,1,2,4,9,5,6,4,8,5,6,7,8,7,6,6,6,1,8,9,5
43:5,5,6,1,9,5,7,3,8,7,5,6,6,9,6,8,6,5,4,7,2,5,9,5,5,6,8,3,2,4
44:4,4,3,5,3,6,6,2,4,7,8,2,5,9,3,1,3,5,9,1,1,5,5,7,3,4,5,6,1,1
45:4,6,8,2,8,1,4,1,2,5,8,4,5,2,5,7,4,8,6,6,8,7,9,2,9,7,6,8,3,1
