A=5691 B=8189 C=7839 X=653846547 Y=9339892237 Z=20771898220 M=5843
A=6931 B=5635 C=9992 X=214471427 Y=4085756623 Z=44225073400 M=6723
A=9517 B=8283 C=9593 X=206344434 Y=1717666704 Z=73541128784 M=1216
A=6707 B=9561 C=7200 X=580631367 Y=3321601663 Z=63082869055 M=9317
A=3552 B=4823 C=7574 X=887814465 Y=9246907306 Z=12245406414 M=9610
A=9133 B=3906 C=7576 X=488547165 Y=6252460973 Z=45545544700 M=4075
A=2331 B=9897 C=5618 X=842207660 Y=6588973141 Z=55445092160 M=3565
A=7889 B=5064 C=5705 X=174143558 Y=3976269992 Z=86665034403 M=4044
A=8695 B=8962 C=6811 X=720217452 Y=9465775414 Z=17682314752 M=9898
A=6329 B=8820 C=5979 X=671740229 Y=8752733222 Z=20116036775 M=3527
A=2370 B=7044 C=9696 X=454705130 Y=3066178306 Z=22817119817 M=9418
A=4249 B=9131 C=6892 X=437788718 Y=1176454938 Z=31774264373 M=5776
A=6097 B=4947 C=6570 X=376098275 Y=8017348132 Z=81419542951 M=7289
A=7973 B=3752 C=7859 X=798516597 Y=4654150731 Z=17941425697 M=3166
A=6452 B=5882 C=6626 X=641852852 Y=2613154920 Z=79069767244 M=5669
A=2549 B=7730 C=6486 X=601521157 Y=3804799575 Z=25976499597 M=1477
A=9088 B=5189 C=5692 X=490621179 Y=1998039140 Z=27992007022 M=3053
A=2994 B=5538 C=5459 X=194454858 Y=9340138008 Z=48534980937 M=3997
A=4089 B=8662 C=6180 X=595428484 Y=7299482667 Z=29745153429 M=8179
A=5172 B=3371 C=8562 X=369856873 Y=7243432752 Z=23782421291 M=6684
A=4562 B=5320 C=9802 X=580001716 Y=9135363002 Z=15060709748 M=8128
A=2551 B=4783 C=7830 X=895132310 Y=3371268268 Z=50868913439 M=9051
A=9764 B=7010 C=9832 X=252539598 Y=9670542648 Z=77138241079 M=3461
A=6119 B=8920 C=9205 X=858348484 Y=2730429641 Z=98812034145 M=4872
A=8616 B=3185 C=6670 X=877704350 Y=9151664346 Z=33087507492 M=4385
A=7704 B=6660 C=8651 X=527367447 Y=3595276742 Z=74529126881 M=1632
A=6571 B=4671 C=8109 X=786760712 Y=3967737726 Z=51487409754 M=6127
A=2151 B=4305 C=5756 X=615590035 Y=4295702445 Z=66272803520 M=2692
A=6594 B=8047 C=7018 X=165313904 Y=2539023035 Z=21959627305 M=4220
A=9079 B=4603 C=9491 X=556037091 Y=2249474416 Z=13164706489 M=9662
A=4690 B=8990 C=9825 X=339263549 Y=8223535229 Z=66864164035 M=6384
A=5442 B=5872 C=7543 X=376696045 Y=9015056729 Z=66014891694 M=8182
A=4723 B=8386 C=9316 X=101277789 Y=6204405601 Z=77225925014 M=5542
A=6245 B=9413 C=5283 X=746532164 Y=6628198321 Z=88654524264 M=6874
A=5372 B=4538 C=6764 X=646470101 Y=9883722840 Z=90824885037 M=6143
A=9695 B=9396 C=6768 X=201250237 Y=8393265632 Z=84159168334 M=8018
A=2545 B=4404 C=8261 X=596636075 Y=3144757815 Z=83465295386 M=7915
A=9444 B=5348 C=6533 X=709043198 Y=9373933238 Z=89388595047 M=3488
A=6291 B=5867 C=9535 X=922167291 Y=1769791418 Z=23532585458 M=8170
A=2782 B=6279 C=8207 X=937095127 Y=9203179265 Z=33261028396 M=4074
A=8941 B=4581 C=7911 X=114456883 Y=9570574791 Z=24553511646 M=1758
A=7053 B=9389 C=8538 X=397834313 Y=9311534277 Z=34770501897 M=7872
A=8974 B=3318 C=6307 X=868178377 Y=7755300632 Z=81185565561 M=7963
A=7115 B=5194 C=5984 X=503020332 Y=1111734492 Z=26882649490 M=7313
A=5675 B=7171 C=5442 X=583176656 Y=5244823947 Z=51561606060 M=7302
A=8066 B=7607 C=7877 X=503692246 Y=6512899083 Z=68387808452 M=6561
A=8039 B=8949 C=7030 X=936924669 Y=3782050484 Z=53796066896 M=8893
A=4042 B=5282 C=7581 X=147892183 Y=1428942413 Z=32962343401 M=4513
A=4236 B=6860 C=9965 X=159347852 Y=3084956599 Z=82410051572 M=4492
A=9868 B=6739 C=5177 X=192204623 Y=1233259393 Z=99385911931 M=5168
A=9813 B=6527 C=7795 X=763810126 Y=7385298876 Z=37453223712 M=6235
A=8514 B=3189 C=8489 X=695908949 Y=7902796870 Z=98829652954 M=9056
